symptom_english,symptom_hindi,symptom_tamil,severity,advice_english,advice_hindi,advice_tamil,first_aid_english,first_aid_hindi,first_aid_tamil
Fever,बुखार,காய்ச்சல்,H,"Take rest and drink plenty of fluids. Use cold compress on forehead.","आराम करें और खूब पानी पिएं। माथे पर ठंडी पट्टी रखें।","ஓய்வு எடுத்து நிறைய நீர் குடிக்கவும். நெற்றியில் குளிர்ந்த ஒத்தடம் கொடுக்கவும்.","Rest in cool place, remove excess clothing, apply wet cloth on forehead","ठंडी जगह आराम करें, अतिरिक्त कपड़े उतारें","குளிர்ந்த இடத்தில் ஓய்வு, கூடுதல் உடைகளை அகற்றவும்"
Common Cold,सर्दी,சளி,H,"Stay hydrated and rest well. Gargle with warm salt water.","खूब पानी पिएं और आराम करें। गर्म नमकीन पानी से गरारे करें।","நீர்ச்சத்துடன் இருக்கவும். வெதுவெதுப்பான உப்பு நீரில் கொப்பளிக்கவும்.","Encourage rest and fluid intake, warm salt water gargling","आराम और द्रव सेवन को बढ़ावा दें","ஓய்வு மற்றும் நீர் உட்கொள்ளலை ஊக்குவிக்கவும்"
Headache,सिर दर्द,தலைவலி,H,"Take rest in dark quiet room. Apply cold compress.","अंधेरे और शांत कमरे में आराम करें। ठंडी सिकाई करें।","இருண்ட அமைதியான அறையில் ஓய்வு எடுக்கவும். குளிர் ஒத்தடம் கொடுக்கவும்.","Lie down in quiet dark room, apply cold compress to head","शांत अंधेरे कमरे में लेट जाएं","அமைதியான இருண்ட அறையில் படுக்கவும்"
Stomach Pain,पेट दर्द,வயிற்றுவலி,D,"Avoid solid food for few hours. Take small sips of water.","कुछ घंटों तक ठोस भोजन न लें। थोड़ा-थोड़ा पानी पिएं।","சில மணி நேரம் திட உணவு தவிர்க்கவும். கொஞ்சம் கொஞ்சமாக தண்ணீர் குடிக்கவும்.","Apply gentle heat to abdomen, avoid solid foods","पेट पर हल्की गर्माहट दें","வயிற்றில் மெதுவான சூட்டைக் கொடுக்கவும்"
Diarrhea,दस्त,வயிற்றுப்போக்கு,D,"Drink ORS solution frequently. Eat light foods like rice.","ORS का घोल बार-बार पिएं। चावल जैसा हल्का खाना खाएं।","ORS கரைசலை அடிக்கடி குடிக்கவும். அரிசி போன்ற எளிய உணவு எடுக்கவும்.","Give ORS solution immediately, continue breastfeeding if infant","तुरंत ORS का घोल दें","உடனே ORS கரைசல் கொடுக்கவும்"
Cough,खांसी,இருமல்,H,"Drink warm water with honey. Use steam inhalation.","शहद के साथ गर्म पानी पिएं। भाप लें।","தேனுடன் வெதுவெதுப்பான நீர் குடிக்கவும். நீராவி பிடிக்கவும்.","Warm honey water, steam inhalation","गर्म शहद पानी दें, भाप दिलवाएं","வெதுவெதுப்பான தேன் நீர், நீராவி"
Snake Bite,सांप का काटना,பாம்பு கடித்தல்,E,"DO NOT cut the wound. Keep patient calm. Rush to hospital.","घाव को न काटें। मरीज़ को शांत रखें। तुरंत अस्पताल ले जाएं।","காயத்தை வெட்ட வேண்டாம். நோயாளியை அமைதியாக வைக்கவும். உடனே மருத்துவமனைக்கு செல்லவும்.","Keep victim still and calm, transport to hospital immediately","पीड़ित को शांत रखें, तुरंत अस्पताल ले जाएं","பாதிக்கப்பட்டவரை அமைதியாக வைத்து உடனே மருத்துவமனைக்கு கொண்டு செல்லவும்"
Chest Pain,छाती में दर्द,நெஞ்சு வலி,E,"Stop all activity. Sit down and rest. Call emergency.","सभी गतिविधियां बंद करें। बैठकर आराम करें। आपातकाल बुलाएं।","அனைத்து செயல்பாடுகளையும் நிறுத்தவும். உட்கார்ந்து ஓய்வு எடுக்கவும். அவசர சேவையை அழைக்கவும்.","Have person sit and rest, call emergency services","व्यक्ति को बिठाकर आराम दिलाएं","நபரை உட்காரவைத்து ஓய்வு கொடுக்கவும்"
High Fever,तेज बुखार,அதிக காய்ச்சல்,D,"Take paracetamol. Use cold sponging. Remove excess clothing.","पैरासिटामोल लें। ठंडे पानी से स्पंज करें।","பாராசிட்டமால் எடுக்கவும். குளிர்ந்த நீரில் துடைக்கவும்.","Remove excess clothing, cold sponging, give paracetamol","अतिरिक्त कपड़े हटाएं","கூடுதல் உடைகளை அகற்றவும்"
Pregnancy Care,गर्भावस्था देखभाल,கர்ப்பகால பராமரிப்பு,D,"Take folic acid tablets. Eat nutritious food.","फोलिक एसिड की गोली लें। पौष्टिक भोजन करें।","ஃபோலிக் அமில மாத்திரைகள் எடுக்கவும். சத்தான உணவு சாப்பிடவும்.","Ensure proper nutrition, prenatal vitamins","उचित पोषण सुनिश्चित करें","சரியான ஊட்டச்சத்தை உறுதி செய்யவும்"
